transaction_id,date,plant,vendor_name,line_item_description,amount_usd,category,under_contract
TXN-100085,2026-07-26,"Plant D - Ohio, US",Gasket & Seal Supply,"lubricant - industrial grade, 360L drum",1502.77,mro,False
TXN-100308,2026-03-08,"Plant C - Haiphong, VN",Security Systems Inc,"office supplies restock, order 59",2234.63,indirect_facilities,False
TXN-100326,2025-12-25,"Plant B - Queretaro, MX",Local Electrician Services,"security system monitoring, period 197",4848.75,indirect_facilities,False
TXN-100368,2026-08-05,"Plant C - Haiphong, VN",AutomationTech GmbH,"CNC spindle unit - replacement, unit 336",109115.32,capex_components,False
TXN-100313,2025-10-14,"Plant B - Queretaro, MX",Office Essentials Co,"janitorial services - monthly, invoice 732",359.71,indirect_facilities,False
TXN-100006,2025-11-19,"Plant B - Queretaro, MX",Global Metals Partners,"Bronze bar stock C93200, 285m",21571.52,raw_materials,True
TXN-100174,2026-01-21,"Plant B - Queretaro, MX",ToolWorks Ltd,"fastener assortment kit, box 939",1135.26,mro,False
TXN-100046,2025-10-26,"Plant B - Queretaro, MX",SteelCore Industries,"Bronze bar stock C93200, 820m",65639.44,raw_materials,True
TXN-100245,2026-07-25,"Plant A - Stuttgart, DE",TransGlobal Freight,inbound trucking - interplant transfer 658,1473.44,logistics_freight,True
TXN-100119,2025-11-24,"Plant D - Ohio, US",HydroTech Parts,"gasket set - pump housing, unit 742",4032.63,mro,True
TXN-100074,2026-08-20,"Plant B - Queretaro, MX",Grainger-type Supply,"hydraulic hose assembly repair, qty 78",3697.26,mro,True
TXN-100228,2025-10-29,"Plant D - Ohio, US",RegionalTruck Co,"customs clearance fee, shipment 824",15483.93,logistics_freight,True
TXN-100111,2026-01-18,"Plant C - Haiphong, VN",ToolWorks Ltd,"lubricant - industrial grade, 241L drum",1410.42,mro,False
TXN-100105,2026-06-13,"Plant B - Queretaro, MX",FastFix MRO,"fastener assortment kit, box 52",4097.91,mro,True
TXN-100351,2026-03-04,"Plant A - Stuttgart, DE",Precision Motion Systems,"CNC spindle unit - replacement, unit 537",62860.67,capex_components,True
TXN-100073,2026-04-15,"Plant D - Ohio, US",Belt & Chain Co,"lubricant - industrial grade, 166L drum",174.02,mro,True
TXN-100211,2026-03-15,"Plant B - Queretaro, MX",CartonWorks,corrugated shipping cartons - 625x18x12in,6855.57,packaging,False
TXN-100004,2025-12-11,"Plant D - Ohio, US",SteelCore Industries,"6mm HRC steel coil - grade S355, lot 575",60083.29,raw_materials,True
TXN-100019,2026-07-27,"Plant D - Ohio, US",SteelCore Industries,"Zinc alloy ingots, lot 406",45579.22,raw_materials,True
TXN-100318,2026-08-03,"Plant B - Queretaro, MX",Janitorial Partners,"IT peripherals - keyboards/monitors, order 873",1291.75,indirect_facilities,False
TXN-100240,2026-04-01,"Plant A - Stuttgart, DE",OceanLink Shipping,"freight forwarding fee, shipment 159",7470.81,logistics_freight,False
TXN-100317,2026-08-14,"Plant D - Ohio, US",Office Essentials Co,"office supplies restock, order 572",2776.4,indirect_facilities,False
TXN-100064,2026-01-04,"Plant C - Haiphong, VN",Continental Alloys,"Aluminum billet 7075-T6, 901kg lot",39037.54,raw_materials,True
TXN-100230,2025-10-17,"Plant D - Ohio, US",LastMile Logistics,"warehousing & handling, invoice 375",24315.24,logistics_freight,True
TXN-100083,2026-02-04,"Plant B - Queretaro, MX",Bearings Direct,"fastener assortment kit, box 359",1589.41,mro,True
TXN-100095,2026-06-19,"Plant C - Haiphong, VN",Belt & Chain Co,"safety gloves - nitrile, case of 631",3503.71,mro,True
TXN-100078,2026-07-15,"Plant B - Queretaro, MX",HydroTech Parts,"gasket set - pump housing, unit 998",472.09,mro,True
TXN-100221,2025-12-27,"Plant C - Haiphong, VN",Export Crate Co,"wooden export crates, qty 795",8096.79,packaging,False
TXN-100298,2026-05-20,"Plant A - Stuttgart, DE",HVAC Services Group,"HVAC maintenance contract, visit 79",1559.67,indirect_facilities,True
TXN-100114,2026-04-27,"Plant D - Ohio, US",HydroTech Parts,"air filter cartridge, qty 556",3665.32,mro,True
TXN-100204,2026-05-08,"Plant A - Stuttgart, DE",FoamPack Industries,"shrink wrap pallets, 736 units",10843.52,packaging,False
TXN-100115,2026-06-27,"Plant A - Stuttgart, DE",Industrial Supply Co,"gasket set - pump housing, unit 399",2905.31,mro,True
TXN-100226,2026-03-07,"Plant C - Haiphong, VN",TransGlobal Freight,"warehousing & handling, invoice 898",9952.02,logistics_freight,True
TXN-100355,2026-08-03,"Plant A - Stuttgart, DE",ControlLogic Systems,"PLC controller upgrade kit, batch 247",13115.41,capex_components,True
TXN-100300,2025-11-15,"Plant B - Queretaro, MX",Catering Services Co,"IT peripherals - keyboards/monitors, order 835",737.69,indirect_facilities,True
TXN-100076,2026-03-06,"Plant A - Stuttgart, DE",ToolWorks Ltd,bearing replacement kit - conveyor line 316,3321.18,mro,False
TXN-100094,2026-08-07,"Plant D - Ohio, US",Precision Fasteners Inc,"drive belt V-type, 431 pack",2591.56,mro,False
TXN-100246,2025-11-04,"Plant B - Queretaro, MX",TransGlobal Freight,"customs clearance fee, shipment 250",35340.62,logistics_freight,True
TXN-100017,2025-09-17,"Plant C - Haiphong, VN",Global Metals Partners,"6mm HRC steel coil - grade S355, lot 235",34469.08,raw_materials,True
TXN-100067,2025-11-08,"Plant C - Haiphong, VN",Continental Alloys,"Aluminum billet 7075-T6, 962kg lot",20260.41,raw_materials,True
TXN-100140,2026-04-26,"Plant D - Ohio, US",SafetyFirst Equipment,"fastener assortment kit, box 250",4377.25,mro,True
TXN-100008,2026-01-14,"Plant A - Stuttgart, DE",SteelCore Industries,"Bronze bar stock C93200, 619m",83357.32,raw_materials,True
TXN-100176,2026-02-12,"Plant A - Stuttgart, DE",ToolWorks Ltd,"gasket set - pump housing, unit 342",908.49,mro,False
TXN-100232,2026-06-27,"Plant D - Ohio, US",RegionalTruck Co,"freight forwarding fee, shipment 269",19547.84,logistics_freight,True
TXN-100337,2026-04-19,"Plant B - Queretaro, MX",Janitorial Partners,"HVAC maintenance contract, visit 280",5589.4,indirect_facilities,False
TXN-100370,2025-09-22,"Plant C - Haiphong, VN",RoboCell Integrators,"PLC controller upgrade kit, batch 458",12976.55,capex_components,False
TXN-100110,2026-01-01,"Plant C - Haiphong, VN",Filtration Direct,"fastener assortment kit, box 642",484.86,mro,True
TXN-100353,2026-07-23,"Plant D - Ohio, US",AutomationTech GmbH,"linear actuator system, qty 45",80749.77,capex_components,False
TXN-100372,2026-05-21,"Plant B - Queretaro, MX",Precision Motion Systems,"linear actuator system, qty 373",7095.51,capex_components,True
TXN-100283,2026-01-18,"Plant B - Queretaro, MX",Security Systems Inc,"security system monitoring, period 425",2566.17,indirect_facilities,False
TXN-100061,2026-07-28,"Plant C - Haiphong, VN",SteelCore Industries,Cast iron ingots - batch 688,41814.92,raw_materials,True
TXN-100250,2025-09-14,"Plant B - Queretaro, MX",AirCargo Express,"ocean freight - container FCL, lot 677",32546.65,logistics_freight,True
TXN-100363,2025-11-03,"Plant C - Haiphong, VN",ControlLogic Systems,"PLC controller upgrade kit, batch 280",57699.08,capex_components,True
TXN-100159,2026-05-26,"Plant D - Ohio, US",Grainger-type Supply,"drive belt V-type, 795 pack",1183.72,mro,True
TXN-100248,2025-11-15,"Plant A - Stuttgart, DE",AirCargo Express,inbound trucking - interplant transfer 337,36762.89,logistics_freight,True
TXN-100146,2026-01-03,"Plant C - Haiphong, VN",SafetyFirst Equipment,"gasket set - pump housing, unit 709",310.46,mro,True
TXN-100018,2026-06-18,"Plant C - Haiphong, VN",Alloy Dynamics GmbH,"Aluminum billet 7075-T6, 217kg lot",53653.81,raw_materials,True
TXN-100295,2026-08-20,"Plant C - Haiphong, VN",Waste Management Ltd,"landscaping services, contract 472",1000.48,indirect_facilities,True
TXN-100025,2026-01-07,"Plant A - Stuttgart, DE",Alloy Dynamics GmbH,"Zinc alloy ingots, lot 542",47678.09,raw_materials,True
TXN-100138,2026-06-03,"Plant D - Ohio, US",ToolWorks Ltd,"lubricant - industrial grade, 631L drum",3208.13,mro,False
TXN-100333,2026-04-25,"Plant C - Haiphong, VN",Janitorial Partners,"landscaping services, contract 452",290.68,indirect_facilities,False
TXN-100352,2026-05-18,"Plant A - Stuttgart, DE",ServoDrive Solutions,"industrial robot arm - refurbished, unit 520",103496.33,capex_components,True
TXN-100311,2025-12-06,"Plant C - Haiphong, VN",Print & Signage Co,"landscaping services, contract 668",2965.52,indirect_facilities,True
TXN-100168,2025-11-24,"Plant C - Haiphong, VN",ElectroParts MRO,"hydraulic hose assembly repair, qty 62",961.36,mro,False
TXN-100335,2026-01-07,"Plant A - Stuttgart, DE",Waste Management Ltd,"landscaping services, contract 142",489.82,indirect_facilities,True
TXN-100342,2026-01-25,"Plant D - Ohio, US",Waste Management Ltd,"HVAC maintenance contract, visit 40",3182.87,indirect_facilities,True
TXN-100376,2026-04-16,"Plant A - Stuttgart, DE",RoboCell Integrators,"PLC controller upgrade kit, batch 381",41682.2,capex_components,False
TXN-100290,2026-03-01,"Plant A - Stuttgart, DE",Landscaping Solutions,"IT peripherals - keyboards/monitors, order 826",3922.25,indirect_facilities,True
TXN-100224,2026-03-06,"Plant B - Queretaro, MX",Export Crate Co,corrugated shipping cartons - 594x18x12in,4791.96,packaging,False
TXN-100164,2025-09-17,"Plant B - Queretaro, MX",ToolWorks Ltd,"fastener assortment kit, box 299",2480.62,mro,False
TXN-100125,2026-07-30,"Plant A - Stuttgart, DE",Conveyor Components Co,"air filter cartridge, qty 230",1141.52,mro,True
TXN-100278,2025-09-16,"Plant A - Stuttgart, DE",TransGlobal Freight,"freight forwarding fee, shipment 649",25013.66,logistics_freight,True
TXN-100120,2026-03-21,"Plant A - Stuttgart, DE",Local Hardware Depot,bearing replacement kit - conveyor line 929,2496.14,mro,False
TXN-100197,2026-02-10,"Plant D - Ohio, US",CartonWorks,"foam insert packaging, batch 45",8875.89,packaging,False
TXN-100166,2026-07-18,"Plant B - Queretaro, MX",Belt & Chain Co,"lubricant - industrial grade, 807L drum",3783.57,mro,True
TXN-100020,2026-06-15,"Plant C - Haiphong, VN",SteelCore Industries,Cast iron ingots - batch 253,33336.94,raw_materials,True
TXN-100156,2025-10-04,"Plant D - Ohio, US",Bearings Direct,"fastener assortment kit, box 117",1202.94,mro,True
TXN-100080,2026-02-18,"Plant D - Ohio, US",Gasket & Seal Supply,bearing replacement kit - conveyor line 184,654.03,mro,False
TXN-100133,2026-08-17,"Plant A - Stuttgart, DE",FastFix MRO,"lubricant - industrial grade, 871L drum",671.41,mro,True
TXN-100141,2026-02-14,"Plant B - Queretaro, MX",SafetyFirst Equipment,"fastener assortment kit, box 872",4336.65,mro,True
TXN-100292,2026-02-08,"Plant D - Ohio, US",Security Systems Inc,"office supplies restock, order 883",435.29,indirect_facilities,False
TXN-100037,2026-05-23,"Plant D - Ohio, US",Meridian Raw Materials,"Bronze bar stock C93200, 449m",34501.4,raw_materials,False
TXN-100358,2025-12-03,"Plant B - Queretaro, MX",ServoDrive Solutions,"linear actuator system, qty 647",72364.19,capex_components,True
TXN-100357,2026-08-17,"Plant D - Ohio, US",AutomationTech GmbH,servo motor assembly - robotic cell 851,8048.8,capex_components,False
TXN-100182,2026-05-14,"Plant D - Ohio, US",CartonWorks,"wooden export crates, qty 638",1893.6,packaging,False
TXN-100183,2026-06-09,"Plant B - Queretaro, MX",Export Crate Co,"pallet wrap film 20mic, 274 rolls",11141.51,packaging,False
TXN-100060,2026-02-08,"Plant B - Queretaro, MX",Continental Alloys,"Copper wire rod 8mm, spool 686",36303.74,raw_materials,True
TXN-100112,2025-11-17,"Plant B - Queretaro, MX",SafetyFirst Equipment,"hydraulic hose assembly repair, qty 142",851.31,mro,True
TXN-100153,2026-01-28,"Plant B - Queretaro, MX",SafetyFirst Equipment,bearing replacement kit - conveyor line 567,780.29,mro,True
TXN-100007,2025-10-18,"Plant D - Ohio, US",Continental Alloys,"Bronze bar stock C93200, 105m",13053.27,raw_materials,True
TXN-100334,2026-04-03,"Plant B - Queretaro, MX",Catering Services Co,"landscaping services, contract 541",931.26,indirect_facilities,True
TXN-100285,2026-05-08,"Plant C - Haiphong, VN",Janitorial Partners,"IT peripherals - keyboards/monitors, order 608",3843.16,indirect_facilities,False
TXN-100011,2026-01-27,"Plant A - Stuttgart, DE",SteelCore Industries,"Copper wire rod 8mm, spool 792",9790.85,raw_materials,True
TXN-100178,2026-06-09,"Plant A - Stuttgart, DE",SafetyFirst Equipment,"gasket set - pump housing, unit 834",1832.3,mro,True
TXN-100104,2026-04-06,"Plant B - Queretaro, MX",Gasket & Seal Supply,"hydraulic hose assembly repair, qty 798",2362.28,mro,False
TXN-100082,2026-04-29,"Plant B - Queretaro, MX",HydroTech Parts,bearing replacement kit - conveyor line 880,2861.35,mro,True
TXN-100332,2026-04-29,"Plant B - Queretaro, MX",Landscaping Solutions,"janitorial services - monthly, invoice 989",4974.43,indirect_facilities,True
TXN-100223,2025-09-21,"Plant C - Haiphong, VN",WrapTech Films,"shrink wrap pallets, 662 units",1667.89,packaging,False
TXN-100193,2026-08-04,"Plant D - Ohio, US",Export Crate Co,"strapping bands - PET, 594kg spool",10864.77,packaging,False
TXN-100210,2026-03-30,"Plant B - Queretaro, MX",PalletPro Solutions,"pallet wrap film 20mic, 544 rolls",2433.21,packaging,False
TXN-100303,2026-06-24,"Plant D - Ohio, US",Security Systems Inc,"landscaping services, contract 779",3606.0,indirect_facilities,False
TXN-100154,2025-09-07,"Plant C - Haiphong, VN",Belt & Chain Co,"fastener assortment kit, box 106",2279.12,mro,True
TXN-100090,2026-05-25,"Plant B - Queretaro, MX",Bearings Direct,"gasket set - pump housing, unit 2",2204.13,mro,True
TXN-100177,2026-08-22,"Plant D - Ohio, US",ElectroParts MRO,"air filter cartridge, qty 422",3155.58,mro,False
TXN-100148,2026-08-26,"Plant D - Ohio, US",ToolWorks Ltd,"air filter cartridge, qty 361",2336.65,mro,False
TXN-100212,2025-12-28,"Plant D - Ohio, US",PalletPro Solutions,"strapping bands - PET, 147kg spool",8487.61,packaging,False
TXN-100093,2026-08-23,"Plant C - Haiphong, VN",Belt & Chain Co,"air filter cartridge, qty 413",3459.41,mro,True
TXN-100070,2026-05-09,"Plant C - Haiphong, VN",Global Metals Partners,"Stainless steel sheet 304, 518 units",93859.16,raw_materials,True
TXN-100124,2026-06-04,"Plant A - Stuttgart, DE",ElectroParts MRO,"fastener assortment kit, box 20",628.73,mro,False
TXN-100097,2026-04-15,"Plant D - Ohio, US",ToolWorks Ltd,"air filter cartridge, qty 477",2423.89,mro,False
TXN-100144,2026-06-12,"Plant B - Queretaro, MX",Industrial Supply Co,"gasket set - pump housing, unit 501",1458.82,mro,True
TXN-100288,2026-05-13,"Plant D - Ohio, US",Janitorial Partners,"office supplies restock, order 8",3618.66,indirect_facilities,False
TXN-100098,2025-11-26,"Plant A - Stuttgart, DE",Belt & Chain Co,"fastener assortment kit, box 813",2009.8,mro,True
TXN-100272,2026-06-12,"Plant C - Haiphong, VN",TransGlobal Freight,"ocean freight - container FCL, lot 359",30955.21,logistics_freight,True
TXN-100069,2026-02-23,"Plant B - Queretaro, MX",SteelCore Industries,"Copper wire rod 8mm, spool 735",14485.91,raw_materials,True
TXN-100024,2025-10-03,"Plant D - Ohio, US",Nordic Steel Supply,"Titanium plate grade 5, batch 611",39873.48,raw_materials,True
TXN-100038,2026-02-21,"Plant A - Stuttgart, DE",SteelCore Industries,"Copper wire rod 8mm, spool 66",16497.47,raw_materials,True
TXN-100145,2025-09-09,"Plant A - Stuttgart, DE",Lubricant Solutions,"fastener assortment kit, box 459",1389.06,mro,False
TXN-100123,2026-04-04,"Plant C - Haiphong, VN",SafetyFirst Equipment,"gasket set - pump housing, unit 285",1533.32,mro,True
TXN-100068,2026-06-11,"Plant B - Queretaro, MX",SteelCore Industries,"Aluminum billet 7075-T6, 761kg lot",77791.14,raw_materials,True
TXN-100173,2025-09-21,"Plant B - Queretaro, MX",Conveyor Components Co,"lubricant - industrial grade, 591L drum",2377.6,mro,True
TXN-100199,2026-05-16,"Plant C - Haiphong, VN",PalletPro Solutions,corrugated shipping cartons - 130x18x12in,10712.79,packaging,False
TXN-100203,2026-08-12,"Plant D - Ohio, US",WrapTech Films,"wooden export crates, qty 873",2442.57,packaging,False
TXN-100301,2025-11-28,"Plant B - Queretaro, MX",Office Essentials Co,"janitorial services - monthly, invoice 203",525.59,indirect_facilities,False
TXN-100181,2026-03-31,"Plant A - Stuttgart, DE",WrapTech Films,"strapping bands - PET, 474kg spool",4488.16,packaging,False
TXN-100126,2025-09-16,"Plant B - Queretaro, MX",Filtration Direct,bearing replacement kit - conveyor line 773,2007.92,mro,True
TXN-100147,2026-06-11,"Plant C - Haiphong, VN",Belt & Chain Co,"air filter cartridge, qty 485",2801.6,mro,True
TXN-100219,2026-01-19,"Plant A - Stuttgart, DE",CartonWorks,"shrink wrap pallets, 406 units",8005.82,packaging,False
TXN-100087,2026-06-25,"Plant C - Haiphong, VN",Gasket & Seal Supply,"lubricant - industrial grade, 183L drum",3323.79,mro,False
TXN-100341,2025-10-21,"Plant C - Haiphong, VN",HVAC Services Group,"janitorial services - monthly, invoice 954",3297.18,indirect_facilities,True
TXN-100275,2026-08-22,"Plant C - Haiphong, VN",RegionalTruck Co,"freight forwarding fee, shipment 850",19870.8,logistics_freight,True
TXN-100321,2025-10-14,"Plant C - Haiphong, VN",Office Essentials Co,"IT peripherals - keyboards/monitors, order 961",3660.13,indirect_facilities,False
TXN-100194,2026-05-06,"Plant C - Haiphong, VN",Export Crate Co,"foam insert packaging, batch 552",7817.36,packaging,False
TXN-100287,2025-11-10,"Plant C - Haiphong, VN",HVAC Services Group,"HVAC maintenance contract, visit 786",3133.27,indirect_facilities,True
TXN-100184,2026-08-24,"Plant D - Ohio, US",FoamPack Industries,"foam insert packaging, batch 902",10601.67,packaging,False
TXN-100297,2026-02-06,"Plant C - Haiphong, VN",Landscaping Solutions,"security system monitoring, period 892",5050.96,indirect_facilities,True
TXN-100269,2026-04-05,"Plant A - Stuttgart, DE",OceanLink Shipping,"freight forwarding fee, shipment 964",14237.12,logistics_freight,False
TXN-100196,2026-06-20,"Plant D - Ohio, US",Export Crate Co,"shrink wrap pallets, 245 units",4580.99,packaging,False
TXN-100279,2026-04-03,"Plant D - Ohio, US",RegionalTruck Co,inbound trucking - interplant transfer 386,26942.97,logistics_freight,True
TXN-100130,2026-02-07,"Plant A - Stuttgart, DE",Filtration Direct,"safety gloves - nitrile, case of 988",2371.75,mro,True
TXN-100039,2025-12-22,"Plant A - Stuttgart, DE",Global Metals Partners,"Copper wire rod 8mm, spool 603",67528.27,raw_materials,True
TXN-100012,2026-01-21,"Plant D - Ohio, US",Pan-Asia Metals Co,"Aluminum billet 7075-T6, 390kg lot",92382.16,raw_materials,True
TXN-100256,2026-05-04,"Plant D - Ohio, US",RegionalTruck Co,"ocean freight - container FCL, lot 63",21557.33,logistics_freight,True
TXN-100186,2026-03-28,"Plant A - Stuttgart, DE",PalletPro Solutions,corrugated shipping cartons - 566x18x12in,8123.82,packaging,False
TXN-100324,2026-03-05,"Plant A - Stuttgart, DE",IT Peripherals Supply,"security system monitoring, period 521",1963.58,indirect_facilities,False
TXN-100113,2025-12-19,"Plant A - Stuttgart, DE",HydroTech Parts,"safety gloves - nitrile, case of 724",4194.18,mro,True
TXN-100180,2026-05-22,"Plant A - Stuttgart, DE",Conveyor Components Co,"gasket set - pump housing, unit 886",748.22,mro,True
TXN-100254,2026-07-12,"Plant A - Stuttgart, DE",OceanLink Shipping,inbound trucking - interplant transfer 969,12657.81,logistics_freight,False
TXN-100330,2026-03-06,"Plant B - Queretaro, MX",Catering Services Co,"office supplies restock, order 421",1760.71,indirect_facilities,True
TXN-100118,2026-05-07,"Plant A - Stuttgart, DE",ToolWorks Ltd,"lubricant - industrial grade, 447L drum",961.58,mro,False
TXN-100350,2026-01-02,"Plant D - Ohio, US",AutomationTech GmbH,"industrial robot arm - refurbished, unit 362",76973.89,capex_components,False
TXN-100366,2025-10-13,"Plant D - Ohio, US",AutomationTech GmbH,"industrial robot arm - refurbished, unit 274",49401.8,capex_components,False
TXN-100273,2025-12-25,"Plant D - Ohio, US",TransGlobal Freight,"customs clearance fee, shipment 588",33068.38,logistics_freight,True
TXN-100361,2026-06-06,"Plant D - Ohio, US",ServoDrive Solutions,"industrial robot arm - refurbished, unit 408",49639.54,capex_components,True
TXN-100165,2026-04-21,"Plant A - Stuttgart, DE",SafetyFirst Equipment,"lubricant - industrial grade, 720L drum",542.76,mro,True
TXN-100234,2026-06-15,"Plant C - Haiphong, VN",OceanLink Shipping,"warehousing & handling, invoice 906",19172.41,logistics_freight,False
TXN-100137,2026-04-24,"Plant B - Queretaro, MX",ToolWorks Ltd,"air filter cartridge, qty 651",2406.74,mro,False
